# title=양을 쫓는 모험	1
양을 쫓는 모험	ОХОТА НА ОВЕЦ Перевел с японского Дм. Коваленин
	
있잖아, 나를 죽이고 싶다고 생각한 적 있었어?	
너를? 뭣 때문에 내가 널 죽여야만 하는 거지?	
"그저, 내가 깊이 잠들었을 때 누군가가 날 죽여주는 것도 나쁘지 않겠다는 생
각이 문득 들었을 뿐이야.  나는 스물 다섯 살까지 살 거야.  그리고 죽을 거야."	
	
제1장 	Часть первая 
1970.11.25	25.11.1970
수요일 오후의 피크닉	ПИКНИК СРЕДИ НЕДЕЛИ
	
 신문을 보고 우연히 그녀의 죽음을 알게 된 친구가 전화로 나에게 그 소식을 알려 주었다.	О ее смерти сообщил мне по телефону старый приятель, наткнувшись на случайные строчки в газете.
그가 천천히 읽어 준 조간 신문의 일단 기사는 꽤 평범한 내용이 었다.	Единственный абзац скупой заметки он членораздельно зачитал прямо в трубку. Заурядная газетная хроника.
대학을 각 나온 풋내기 기자가 연습 삼아 쓴 것 같은 서툰 문장이었다.	Молоденький журналист, едва закончив университет, получил задание и опробовал перо.
몇 월 몇 일, 어딘가의 길모퉁이에서 누군가가 운전하는 트럭에 사람이 치었 다.	Тогда-то и там-то такой-то, находясь за рулем грузовика, сбил такую-то.
그 사고를 낸 누군가는 업무상 과실 치사 혐의로 조사중이다.	Вероятность нарушения служебных обязанностей, повлекшего смерть, выясняется...
그 친구가 읽어 준 기사는 잡지의 속표지에 실려 있는 짧은 시처럼 들리기도 했다.	Как рекламный стишок на задней обложке журнала.
나는 '장례식은 어디서 할 것 같아?'	- Где будут похороны? - спросил я.
하고 물어 보았다. '글세, 모르지.	- Да откуда я знаю? - удивился он.
그런데 도대체 그 애한테 집 같은 게 있었을까?'	- У нее, вообще, была семья-то?
하고 그는 대답했다. 물론 그녀에게도 집은 있었다.	Разумеется, семья у нее была.
나는 그날 당장 경찰에 전화를 걸어 그녀의 집 주소와 전화 번호를 알아낸 후 에 그녀의 집에 전화를 걸어 장례식 일정을 물어 보았다.	Я позвонил в полицию, спросил адрес и номер телефона семьи, затем позвонил семье и узнал дату и время похорон.
