3. 노래는 끝났다.	3. ПЕСЕНКА СПЕТА
	
나는 6월에 거리로 돌아왔다.	В Город я вернулся в июне.
	Сочинив благовидный предлог, я взял на работе отпуск на три дня - и во вторник сел на утренний 'Синкансэн'. В белой рубашке с короткими рукавами, зеленых спортивных штанах с пузырями на коленях, старых теннисных туфлях - и без багажа.
나는 적당한 이유를 꾸며 사흘 간의 휴가를 얻은 후, 화요일 아침에 혼자서 신칸센을 탔다.	Спросонья даже побриться забыл.
	Теннисные туфли я не надевал уже очень давно, и теперь они казались мне стоптанными на странный манер - так, что походка в них получалась какая-то не своя.
흰색 반팔 스포츠 셔츠와 무릎에 구멍이 나기 직전인 초록색 면바지, 흰색 테니스화, 짐은 없었다.	Замечательное чувство - садиться в поезд дальнего следования без багажа.
	Словно, выйдя из дому прогуляться, вдруг попадаешь в искривленное пространство-время - и оказываешься в кабине пикирующего бомбардировщика.
아침에 일어나서 면도하는 것조차도 잊어 버렸다.	И больше уж нет ничего.
오랜만에 신은 테니스화의 뒤축은 믿을 수 없을 정도로 비뚤게 닳아 있었다.	Ни визитов к зубному, расписанных на неделю в календаре.
아마 나도 모르는 사이에 몹시 부자연스럽게 걷고 있었던 모양이다.	Ни проблем, громоздящихся на столе в ожидании твоего прихода.
짐도 들지 않고 열차를 타고 장거리 여행을 하는 건 멋진 일이었다.	Ни всех этих 'общественных отношений', из которых рискуешь не выпутаться до конца жизни.
마치 아 무 생각 없이 산책하는 동안에 시공(時空)의 일그러짐 속에 휘말려 버린 뇌격기 (역주:어뢰를 발사하여 적의 군함을 공격하는 비행기) 같은 기분이다.	Ни фальшивой приветливости на физиономии для завоевания доверия окружающих...
거기에는 완벽하게 아무것도 없다.	Все это я на какое-то время просто посылаю к чертям.
치과의 진료 예약도 없고, 책상 서랍 속에서 해결을 기다리고 있는 문제도 없다.	Все, что остается ╜ эти старые теннисные туфли со стоптанными подошвами.
이제는 돌이킬 수도 없을 만큼 얽혀 버린 인간 관 계도 없다.	Только они - и ничего больше.
	Уж они-то накрепко приросли к ногам - ошметки неясных воспоминаний о другом пространстве-времени.
신뢰감이 강요하는 하찮은 호의도 없다.	Ну, да это уже не страшно.
	Такие воспоминанья запросто изгоняются парой банок пива и сэндвичем с ветчиной.
나는 그런 모든 것들을 일시적인 나락(奈落)의 밑바닥으로 쓸어 넣어 버리고 온 것이다.	Вот уже четыре года я не появлялся в Городе.
	Четыре года назад я приезжал уладить некоторые, так сказать, 'чисто бюрократические формальности' по поводу моего брака.
	Поездка, однако же, вышла бессмысленной: оказалось, что только я находил свой вопрос 'чисто бюрократическим'; все остальные вокруг почему-то так не считали.
내가 가지고 있는 것은 고무창이 비뚤게 닳아 버린 낡은 테니스화, 그뿐이다.	Ну, то есть - обычное несовпадение взглядов.
그것은 또 다른 시공에 대한 막연한 기억처럼 내 두 발에 단단히 매 달려 있지만, 그것도 그리 대단한 문제는 아니다.	То, что для одного человека уже закончилось и представляется 'делом прошлым' - другому таким не кажется.
그런 것은 몇 개의 캔 맥주와 물기 없이 바싹 마른 햄 샌드위치가 날려보내 준다. 4년만에 거리로 돌아왔다.	Вот и все, казалось бы ╜ и ничего особенного.
4년 전에는 내 결혼에 관한, 말하자면 사무적인 절 차를 위해서 돌아왔었다.	Но в этом малом и скрывается самое главное.
그러나 그것은-내가 사무적인 절차라고 생각하고 있 던 일을 어느 누구도 그렇게 생각해 주지 않았다는 데서-무의미한 여행이었다.	Чем дальше в будущее прочерчивать линии несовпадающих взглядов - тем шире будет зазор несовпадения между ними.
요컨대 사고방식의 차이인 것이다.	С тех пор у меня больше нет 'моего города'.
어떤 사람에게는 끝나 버린 일이 다른 사람 에게는 아직 끝나지 않은 일이다.	Нет места, куда возвращаться...
그저 그뿐이다. 그저 그뿐인 것이 선로의 앞 쪽으로 가면 매우 큰 차이를 갖게 된다.	При одной мысли об этом на душе полегчало.
그 이후로 나에게 '거리'란 없다.	Никто не жаждет со мною встречи.
내가 돌아 돌아올 수 있는 곳은 아무데도 없다. 그렇게 생각하니 나는 마음속으로부터 안심이 되었다.	Я никому не нужен - и никто не надеется, что может быть нужен мне.
이제는 아무도 나 를 만나고 싶어하지 않는다.	После двух банок пива я на полчаса заснул.
	Проснувшись же, обнаружил, что прежнее ощущение свободы и легкости тела исчезло.
	В окне - словно вдогонку за убегающим поездом ╜ пепельно-серая туча стремительно обволакивала небо, грозя вот-вот пролиться затяжным июньским дождем.
이제는 아무도 나를 찾지 않고 아무도 내가 찾길 원하지 않는다. 캔 맥주를 두 개 마시고 나서 30분 가량 잤다.	Под небом этим, куда ни глянь, тянулся один и тот же скучный пейзаж.
눈을 떴을 때에는 처음에 느 꼈던 홀가분한 해방감은 이미 깨끗이 사라지고 없었다.	С какой бы скоростью ни ехал поезд - от скуки не убежать.
열차가 나아감에 따라 하늘은 장마철의 우중충한 회색으로 뒤덮여 갔고, 그 밑으로는 평상시와 다름없 는 따분한 풍경이 펼쳐지고 있었다.	Наоборот: чем выше скорость - тем глубже вязнет душа, как в болоте, в бездоннейшей скукотище.
아무리 속도를 내도 그런 따분함에서 벗어 날 수는 없다.	Собственно, в этом и заключается главный принцип Скуки Как Она Есть.
	Молодой, лет двадцати пяти клерк в кресле рядом со мной практически не шевелился, с головой погрузившись в чтение 'Кэйдзай Симбун'.
	Темно-синий летний костюм без единой морщинки и черные туфли; белая сорочка - только что из химчистки.
반대로 속력을 내면 낼수록 우리는 따분함의 한복판에 발을 들 여놓게 된다.	Я уставился в потолок вагона и закурил.
	Чтобы как-то убить время, я попробовал подсчитать в уме, сколько песен записали 'Битлз' на пластинках.
따분함이란 것은 그런 것이다.	Дойдя до семидесяти трех, я застрял.
옆자리에 앉은 20대 중반의 샐러리맨은 꼼짝도 하지 않고 경제신문을 열심히 읽고 있었다.	Интересно, сколько насчитал бы сам Пол Маккартни?...
구김살 하나 없는 삼색 여름 양복에 검은 구두. 세탁소에서 막 찾아온 듯한 흰 셔츠.	Понаблюдав за тем, что творилось в окне, я снова уставился в потолок.
나는 열차의 천장을 바라보면서 담배를 피웠다.	Итак, мне двадцать девять.
그리고 무료함을 달래기 위해 비틀스가 취입한 곡의 곡명을 차례차례 생각해 보았다.	Еще полгода - и канет в Лету третий десяток лет жизни.
그것은 일흔세 번째에서 멈춰 더 이상 나아가지 않았다. 폴 매카트니는 대체 몇까지 기억하고 있을까?	Ничего, абсолютно ничего после себя не оставившее десятилетие.
	Во всем, что нажито, ценности - ни на грош; все, чего я добился, не имеет ни малейшего смысла.
나는 잠깐 창 밖을 바라보고 나서 다시 천장으로 시선을 보냈다.	Если что и осталось со мною в итоге - так лишь эта самая Скука...
나는 스물 아홉 살이고, 앞으로 여섯 달만 있으면 나의 20대는 막을 내린다.	Что же было тогда, сначала, - чего я сейчас не помню?
아무것도 없다. 완전히 아무것도 없는 10년간이었다.	Ведь было же, безо всяких сомнений.
내가 얻은 가치가 없고, 내가 이룩한 모든 것은 무의미했다.	Что-то трогало мою душу - так же, как души других людей...
내가 거기서 얻은 건 무료함뿐이었다. 처음에 무엇이 있었는지, 이제는 잊어버렸다.	И вот в итоге это 'что-то' потеряно безвозвратно.
그러나 거기에는 틀림없이 뭔가 가 있었다.	Я сам решил потерять его - и оно потерялось.
내 마음을 흔들고, 내 마음을 통해서 다른 사람의 마음마저 흔드는 뭔가가 있었던 것이다. 결국에는 모든 것을 잃어버리고 말았다.	Но кроме этого - кроме того, чтобы выпустить все из слабеющих рук, - что еще оставалось делать?
당연히 잃어야 했기에 잃은 것이다.	Ведь, по крайней мере, я выжил...
모든 것을 포기하는 것말고 나에게 무슨 방법이 있었을 까? 적어도 나는 살아 남았다.	Конечно, лучший индеец - это мертвый индеец.
좋은 인디언은 모두 다 죽었다고 하더라도, 나는 역시 오래 살아야만 했다.	Но мне во что бы то ни стало понадобилось жить дальше.
무엇 때문에?	Зачем?
	Рассказывать байки каменным стенам?
돌담에게 전설을 전하기 위해서?	Чушь собачья.
설마.	
왜 호텔 같은 데에 묵는 거야?' 내가 종이 성냥 뒤에 호텔 전화 번호를 적어서 건네주자, J는 이상하다는 듯한 얼굴로 그렇게 말했다.	- Какого черта ты остановился в отеле? - удивился Джей, когда я вручил ему спичечный коробок из отеля с телефоном на этикетке.
자네 집이 있으니까 거기서 묵으면 되잖아.'	- У тебя же здесь дом!
아젠 내 집이 아니야' 라고 나는 말했다.	- Это уже не мой дом, - ответил я.
J는 그 이상 아무 말도 하지 않았다.	Джей не стал ни о чем расспрашивать.
나는 앞에 마른안주를 세 가지 놓고 맥주를 반쯤 마시고 나서, 쥐의 편지를 꺼내 J에게 건네주었다. J는 수건으로 손을 닦은 다음 두 통의 편지를 대충 훑 어보고 나서 한 번 천천히 차근차근 읽었다.	Я выстроил перед собой три тарелки с закуской, выпил с полкружки пива и только потом протянул ему через стойку письма Крысы.
	Вытерев ладони полотенцем, Джей наскоро пробежал глазами оба послания - и затем, уже медленнее и вдумываясь в слова, перечитал все сначала.
그는 놀랍다는 듯이 '흐흠 살아 있긴 했구나' 하고 말했다.	- Хм-м-м!... - протянул он с интересом.
살아 있다마다' 라고 나는 대꾸하고 맥주를 마셨다.	- Значит, живой еще, сукин сын?
그런데 면도를 좀 하고 싶은데 면도기와 셰이빙 크림을 빌릴 수 있을까?'	- Жив-здоров, как видишь!... - сказал я и отхлебнул еще пива.
J는 '괜찮고 말고' 라고 하며 카운터 밑에서 휴대용 세트를 꺼내 주었다.	- Слушай, я побриться хочу.
세면대에서 하면 되지만, 더운물은 안 나올 거야.'	Дашь станок и крем для бритья?
찬물이면 어때.	- Что за вопрос!
바닥에 술 취한 여자가 뒹굴고 있지만 않다면 말이야.	- Джей извлек из-под стойки походный бритвенный набор.
면도 에 방해가 되거든' 라고 나는 말했다. 제이스 바는 완전히 변해 있었다.	- Бриться удобнее в туалете - правда, там нет горячей воды...
옛날의 제이스 바는 국도 옆의 낡은 건물 지하에 있는 작고 습한 가게였다.	- Ничего, сгодится и холодная, - сказал я.
여름밤에는 에어컨디셔너의 바람이 미세한 안개가 될 정도였다.	- Лишь бы пьяные бабы на полу не валялись.
오래 마시고 있노라면 셔츠까지 축축해졌다.	Вот тогда бриться действительно трудновато...
J의 본명은 길고 발음하기도 어려운 중국 이름이었다.	Бар Джея полностью переменился.
	Прежний 'Джей'з бар' являл собой промозглое заведение в подвале развалюхи-многоэтажки у обочины городской магистрали.
J라는 이름은 그가 제2 차 세계 대전이 끝난 후에 미군 기지에서 일하고 있을 때에 미군 병사들이 붙인 이름이었다.	В летнее время даже из кондиционеров там вытекал не воздух, а какой-то сырой туман.
그러는 사이에 본명은 잊혀졌다.	Посидишь чуть подольше - и можно рубаху выжимать.
내가 오래 전에 J에게서 들은 이야기로는, 그는 1954년에 미군기지의 일을 그 만두고 그 근처에서 작은 바를 열었다.	Настоящее имя Джея было китайское - длинное и труднопроизносимое.
