一	1 Как умудрился Лао Ли привезти разом жену, двух детишек, постели, циновки, четыре сумки, большие и маленькие пакеты, два зонта, корзину с овощами, кувшин с пшеном, - до сих пор остается загадкой.
老李怎么把夫人，一对小孩，铺盖卷，尿垫子，四个网篮，大小七个布包，两把雨伞，一篓家腌的芥菜头，半坛子新小米，全一股作气运来，至今还是个谜。	Он, видимо, решил захватить все, с чем жена не могла расстаться, и сумел это довезти в полной сохранности. А раньше, бывало, купит какие-нибудь мелочи и боится потерять…
他好像是下了决心接家眷，所以凡是夫人舍不得的物件全搬了来；往常他买过了三件小东西就觉得有丢失一件的可能。	Через три дня он вернулся в Пекин, чтобы в оставшиеся два дня отпуска все как следует устроить.
他请了五天假，第三天上就由乡间拔了营，为是到北平之后，好有一天的工夫布置一切，不必另请假。	Столы и стулья перевезли от Чжан Дагэ, сам Чжан Дагэ не мог зайти раньше четырех, и помочь вызвался Дин Второй.
由张大哥那里把桌椅搬运了来，张大哥非到四点后不能来，所以丁二爷自告奋勇来帮忙。	Он присматривал за детьми, но делал это так, что лишь прибавлял всем хлопот, как нарочно, путался под ногами.
丁二爷的帮忙限于看孩子。 丁二爷的看孩子是专门挡路碍事添麻烦。	Только надумает Лао Ли поставить стол в одну из комнат, а Дин с детишками затеет там игру.
老李要往东间里放桌子，丁二爷和两个孩子恰好在最宜放桌子那块玩呢；老李抓了抓头发，往西间去，丁二爷率领二位副将急忙赶到。	Лао Ли взъерошит волосы и пойдет в другую комнату, а Дин с детишками спешит за ним.
老李找锤子，无论如何也找不到，丁二爷拿着呢。	Станет Лао Ли искать молоток, а молоток - в руках у Дина.
忙了一天，两把伞还在院里扔着，小米洒了一地，四个网篮全打开了，东西以极新颖的排列法陈列在地上，没有一件得到相当的立身所在，而且生命非常的不安全：老李踩碎一个针盒，李太太被切菜墩绊倒两次，压瘪了无数可以瘪的东西，博得了二爷与孩子们的一片彩声。	Весь день пробегали зря: зонты все еще лежали во дворе, пшено высыпалось на землю, сумки да и остальные вещи валялись - ни одна не нашла своего места, и нельзя было поручиться за их сохранность.
还不到四点钟，张大哥来了，把左眼稍微一睁，四篮的东西已大半有了地位，用手左右指了指，地上已经看不见什么，连洒出来的小米全又回了坛子。	Лао Ли наступил на коробочку из-под иголок, госпожа Ли дважды споткнулась о кухонную доску, потом что-то раздавила: Дин и дети прыгали от восторга.
全布置好了，没有像片和对联！ 张大哥对老李有些失望。	Не было еще и четырех, когда пришел Чжан Дагэ.
再看，新糊的窗子被丁二爷戳了个窟窿。 不怪张大哥看不起他们。	Стоило ему прищурить левый глаз, махнуть рукой налево и направо, и каждая вещь нашла свое место, даже пшено.
“老李，明天上我那儿取几张风景画片，一副对联，一个中堂，好在都没上款。”	Все убрали, расставили, только фотографий и парных надписей не было.
老李看了看墙上，才发现了黑白分明不大好看，“糊一糊好了。”	Чжан Дагэ несколько разочаровался в Лао Ли.
他说。 “知道能住多少日子呀，白给人家糊？	Не ускользнуло от него и то, что Дин уже успел проткнуть только что оклеенные окна.
况且糊墙就得糊顶棚，你还不能四白落地，可是上边悬着块黑膏药。	Недаром Чжан Дагэ не любил таких людей, как Дин.
	Лао Ли, заходи завтра, возьмешь несколько картинок с пейзажами, парную надпись и свиток с изречениями - совсем еще новые.
再说，一裱糊，又是天翻地覆，东西都得挪动。”	Только сейчас Лао Ли заметил на стене белые пятна.
张大哥点上了烟斗。	Неплохо бы оклеить, - сказал он.
一听又要天翻地覆，老李觉得糊墙一定是罪孽深重，只好点了点头，意思是明天去取那没上款的对联。	Если бы знать, сколько ты проживешь здесь, тогда другое дело, а с какой стати для кого-то оклеивать?
张大哥走了。 他走后，老李才想起来了，也没让他吃饭！	И потом, не станешь же клеить одни стены, надо еще и потолок, а то он будет выделяться, как пластырь.
饭在哪儿呢？ 可是，退一步说，茶总该沏一壶吧！	Это значит все передвигать. - Чжан Дагэ зажег трубку.
	Услыхав о возможности нового переворота, да еще с такими сложностями, Лао Ли решил, что не стоит ввязываться в это дело, и кивнул головой.
看了看堂屋，方桌上一把壶六个碗，在个磁盘上放着，好像专等有人来沏茶似的。	Это означало, что завтра он пойдет к Чжан Дагэ за картинками и парными надписями.
谁当沏茶去？	Чжан Дагэ ушел.
	Вдруг Лао Ли вспомнил, что не пригласил его пообедать.
假如这是在张大哥家里？	А есть ли в доме обед?
谁应当张罗客人喝茶？	Во всяком случае, чайник чаю найдется!
	Он взглянул на стол в гостиной: там на фарфоровом подносе стояли чайник и шесть чашек, будто ждали, что кто-то придет и заварит чай.
老李的眉头皱上了。	Но кто должен это делать?
他刚一皱眉，丁二爷也告辞；孩子们拉住丁二爷的手，不许他走。	Кто в доме Чжан Дагэ принимает гостей и угощает их чаем?
“在这儿吃饭，妈会作枣儿窝窝！”	Лао Ли нахмурился.
男孩儿说。 “枣儿喏喏！”	В это время решил раскланяться Дин Второй.
女孩跟着哥哥学，话还说得不大便利。	Дети схватили его за руки и не отпускали.
老李一边往外送客，一边心里说：“大人还不如小孩子懂事呢！”	Пообедайте у нас, - просил мальчик. - Мама испечет лепешки с финиками.
继而一想，“弄些客套又有什么意义呢？”	Лелешки, - вслед за братом пролепетала девочка.
	Лао Ли вышел во двор проводить гостя и подумал: «Дети разбираются в приличиях лучше взрослых!
心中这么想，把丁二爷忘了。	Но какой смысл в приличиях?»
客人走出老远，他才想起，“呕，丁二爷呢？” 二	Размышляя, он забыл о Дине Втором и спохватился, когда гость был уже далеко.
李太太不难看。 脸上挺干净，有点发整。	2 Госпожу Ли нельзя было назвать некрасивой.
眉眼也端正。 嘴不大爱闭上，呼吸带着点响声，大牙板。	Лицо не очень выразительное, зато чистое, брови прямые.
	Вот только рот она держала полуоткрытым, показывая крупные зубы, и шумно дышала.
身子横宽，棉袍又肥了些，显着迟笨。	Изяществом она не отличалась, а в ватном халате была вообще неуклюжей.
一双前后顶着棉花的改造脚，走路只见胳臂摆动，不见身体往前挪：有时猛的倒退半步，大概是脚踵设法找那些棉花呢。	В туфли добавляла ваты, чтобы изуродованные ноги казались больше, хотя из-под халата их вовсе не было видно.
坐下的时候确不难看。 新学会的鞠躬：腰板挺着，两手贴垂，忽然一个整劲往前一栽：十分的郑重，只是略带点危险性。	Ходила прямо, но иногда вдруг всем телом подавалась назад, - видимо, поправляла в Туфлях сбившуюся вату.
她给丁二爷鞠了躬，给张大哥鞠了躬，心里觉得不十分自然，可是也有点高兴。	Словом, она была хороша собой, лишь когда сидела.
	Она умела по-современному кланяться: опускала руки и резко наклонялась вперед, выглядело это весьма торжественно, но, казалось, она сейчас упадет.
	Госпожа Ли поклонилась Дину Второму, затем Чжан, Дагэ, и хотя получилось это не очень естественно, она осталась довольна собой.
张大哥说“好在还不冷”的时候，她答了句“还没到立冬”，也非常的漂亮而恰当。	Когда Чжан Дагэ сказал: «Хорошо, что еще не холодно», - госпожа Ли весьма кстати добавила: «Зима еще не наступила».
屋子大概的布置好了，她一手扶着椅子背，四下打了一眼，不错，只是太空！	Расставив все по местам, она села на стул, опершись о спинку, и осмотрелась.
可是，空得另有一种可喜的味道。	Вообще-то ничего, только пусто очень.
这一切是她的！	Ну и ладно.
除了丈夫就属她大，没有公婆管着，小姑子看着。	Не так уже это плохо.
况且，这是北平！	И потом, она здесь хозяйка.
	Нет свекрови, нет золовок, которые не спускали с нее глаз, только мужу придется подчиняться.
北平未见得比乡下“好”，可是，一定比乡下“高”。	К тому же, ведь это - Пекин!
老李的眉头还皱着呢，看了她一眼，要说：“不会沏点茶呀？”	Пекин, конечно, Лучше деревни, но здесь столько премудростей.
可是管住了自己，改为：“倒壶茶。”	Лао Ли все еще хмурился.
	Он поглядел на жену, хотел сказать: «Не могла, чай заварить!» - но сдержался и попросил:
跟她说，连“沏”还得改成“倒”！ “我还真忘了，真！”	Налей чаю! - Он боялся, что она не поймет слова «заварить».
	О, я совсем забыла, - осклабилась госпожа Ли. - А заварка где? - Она произнесла эту фразу так громко, - будто обращалась ко всему Пекину.
	Потише! - сказал муж, он хотел добавить: «Здесь не деревня, где орут на всю улицу», - но опять сдержался.
李太太笑了，把牙全露出来。 “茶叶呢？”	Желая загладить вину, жена быстро нашла заварку.
这句好像是问全北平呢，声音非常的高。 “小点声！”	Ой, совсем забыла, воды же нет! - еще громче сказала она.
老李说，把“这儿不是乡下，屋里说话，村外都得听见！” 咽了回去。	Ну, потише же! - скрипнул зубами Лао Ли, и брови его образовали угол.
她似乎为抵销大嗓说话的罪过，居然把茶叶找到。 “还忘了呢，没水！”	Она взяла чайник, потопталась на месте, видимо, поправляя вату в туфлях:
为找到茶叶把大嗓门的罪过又犯了。	Пойду займу кипятку у соседей.
“你小点声！”	Он покачал головой.
老李咬着牙说，眉头皱得像座小山。	Так и подмывало сказать: «Здесь не деревня, где можно все занимать!»
她拿着茶壶在屋里转了半个圈，因脚下的棉花又发生了变化，所以没有转圆。	Ма, есть хочется. - Девочка потянула мать за руку.
“我上街坊屋借一壶开水去？”	Мать обняла ребенка, глаза ее покраснели.
他摇头。	В деревне
不行，还得告诉她：“这儿不比乡下，不许随便用人家的东西”。 “妈，吃饭饭！”	дети уже спали бы, а здесь, в этом противном Пекине, и этого нельзя, и того.
小妞子过来拉住妈妈的手。	До сих пор дети голодные!
妈妈抱起孩子来，眼圈红了。	Комнаты пустые, даже лежанки нет.
在乡下，这时候孩子就该睡了；在这儿，臭北平！	Ни ящиков, ни воды - ничего не найдешь, а муж все хмурит брови.
这个不准，那个不行，孩子到这咱晚还没吃饭！	Сто Пекинов не сравнятся с деревней!
屋子是空的，没有顺山大炕，没有箱子，没有水，看哪儿都发生，找什么也不顺手，丈夫皱着眉！	Па, есть хочу. - Мальчик стукнул Лао Ли кулачком.
一百个北平也比不上乡下！ “爸，还不吃饭？”	Лао Ли поглядел на детей, перестал хмуриться.
男孩用拳头打了老李一下。	Сейчас папа пойдет и купит вам чего-нибудь.
老李看了看两个孩子，眉头上那座小山化了。	Пекин - не деревня. - Он взял кулачок мальчика в руку и спросил у жены:
“爸给你们买吃的去，”	Что купить?
然后把小拳头放在自己的手掌上，“这儿呀，方便极了，一会儿我都能买来，买——”他看了太太一眼，“买什么？”	Жена не ответила, но на лице ее он прочел: «Откуда я знаю, что можно купить в вашем Пекине!»
太太没言语，脸上代她说，“我知道你们的北平有什么！”	Па, я хочу земляных орехов и яблочек.
“爸，买点落花生，大海棠果。” “爸，菱吃发生！”	Па, Лин хочет олехов, - пролепетала девочка.
	Лао Ли рассмеялся, ему хотелось сказать детям что-нибудь ласковое, но он не нашел подходящих слов, накинул пальто и вышел из дома.
小妞子说。 老李笑了，要回答他们几句，没找到话，披上大衣上了街。	3 На улице продавали всякую всячину, но Лао Ли не знал, что купить.
	В самом конце улицы стоял книжный лоток; старый торговец складывал в корзину книги; среди них были «Дама с камелиями», «Путешествие Лао Цаня», первое издание «Лекций по математике», [[20]: #_ednref20 «Путешествие Лао Цаня» - обличительный роман Лю Э (начала ХХ в.).
	«Лекции по математике» -одна из книг начала ХХ в., когда Китай впервые стал знакомиться с точными науками.] выпущенное на тридцать втором году правления Гуансюя [[21]: #_ednref20 «На тридцать втором году правления Гуансюя» - 1906 г.].
	Лао Ли грустно взглянул на лоток и пошел прочь, потом оглянулся - продавец продолжал убирать книги в корзину, не обращая на Лао Ли никакого внимания.
三 街上东西是很多，老李只想不出买什么好。	Возле лотков с мясом торговали горячими кунжутными лепешками.
街西一个旧书摊，卖书的老人正往筐中收拾《茶花女》，《老残游记》，和光绪三十二年的头版《格致讲义》。	Подрумяненные зерна кунжута походили на раздутое брюшко комара.
老李看了看，搭讪着走开：过了两步，又回头看看卖书的——正忙着收摊，似乎没有理会到老李的存在。	«Надо, пожалуй, купить лепешек», - подумал Лао Ли и тут заметил женщину, которая торговалась с продавцом чайников.
老李开始注意羊肉床子旁边的芝麻酱烧饼，刚烙得，焦黄的芝麻像些吃饱的蚊子肚儿。	Лао Ли подошел и купил сразу два чайника.
颇想买几个。 旁边一位老太太正打好洋铁壶的价钱，老李跟着买了两把。	Потом увидел печку, вспомнил совет Чжан Дагэ и приценился.
等她走后，才敢问洋炉子的价钱——因为张大哥极端的主张用洋炉子——买定了一个。	Он был уверен, что переплатил, но решил при встрече скрыть это от Чжан Дагэ.
	И все же на душе у него было радостно: впервые в жизни он купил печку и уж наверняка не станет покупать вторую.
一问价钱的时候，心中就决定好——准买贵了。	Не страшно, если и переплатил.
买好之后又决定好，告诉张大哥的时候，少说两块钱，他还能说贵吗？	Печь вместе с трубой должны были прислать на следующее утро.
心中很痛快，生平第一次买洋炉子，一辈子不准买上两回，贵点就贵点吧。	«Куда же мне теперь идти, - думал он, стоя с чайниками в руках. - Что купить детям?»
说好炉子和铁管次日一早送去。	Лао Ли женился давно.
然后，提着水壶，茫然不知到哪里去好。	Но жену считал невесткой родителей, матерью его детей, детей - внучатами родителей.
到底给孩子们买什么吃呢？	Себя же не чувствовал ни мужем, ни отцом.
虽然结婚这么几年，太太只是父母的儿媳妇，儿女只是祖母的孙儿，老李似乎不知道他是丈夫与父亲。	Но он должен заботиться о детях, никто другой этого не сделает.
现在，他要是不管儿女的吃食，还真就没第二个人来管。	Лао Ли испытывал какое-то удивительное чувство.
老李觉得奇怪。	Уж не во сне ли он видит этот залитый огнями рынок?
	«Детишкам надо купить какой-нибудь легкой еды, - соображал Лао Ли, сжимая ручки чайников с такой силой, словно они могли дать ему совет. - Может быть, порошкового молока?
灯下的西四牌楼像个梦！	Они его ни разу не пили!»
给小孩吃当然要软而容易消化的，老李握紧了铁壶的把儿，好像壶把会给他出主意似的。	Тут на глаза ему попался фруктовый магазин - только бы не забыть про земляные орехи.
代乳粉？	Купил фунт.
没吃过！	До чего дешево!
眼前是干果子铺，别忘了落花生。	Даже как-то неловко.
买了一斤花生米。	Фунт стоит всего мао и пять фэней!
	В сверкающем огнями магазине потратить такую мизерную сумму!
一斤，本来以为可以遮点羞，哼，谁知道才一角五分钱！	Он попросил еще две банки яблочного варенья и пошел домой.
	Очутившись у своего переулка, подумал: орехи и варенье не еда.
没法出来，在有这么些只电灯的铺子只花一角五？	Повернул обратно, дошел до бакалейной лавки, потом до мясной.
又要了两罐蜜饯海棠。	Но… постеснялся войти.
开始往回走。 到胡同口，似乎有点不得劲——花生米海棠大概和晚饭不是同一意义。	Конечно, рано или поздно войти придется - не последний же день он живет на свете.
又转回身来，看了看油盐店，猪肉铺，不好意思进去。	При этой мысли у него окончательно отпала охота сделать это сейчас.
可是日久天长，将来总得进去，于是更觉得今天不应进去。	Как только войдешь в магазин, уподобишься Чжан Дагэ!
心里说：“你一进去，你就是张大哥第二！”	А не войдешь, кому уподобишься?
	Вдруг он увидел жареные лепешки и купил двадцать штук.
	Рядом вынули из печи пирожки на пару с мясом и капустой, до-того белые, что при свете лампы они казались фарфоровыми.
可是不进去，又是什么第二呢？	Лао Ли купил сразу противень.
又看见烧饼。 买了二十个。	Торговцы казались ему благодетелями.
羊肉白菜馅包子也刚出屉，在灯光下白得像些磁的，可是冒着热气。	От радостного волнения у Лао Ли дрожали руки.
买了一屉。 卖烧饼的好像应该是姓“和”名“气”，老李痛快得手都有点发颤，世界还没到末日！	Оказывается, не так уж это страшно - делать покупки.
拿出一块钱，唯恐人家嫌找钱麻烦；一点也没有，客客气气的找来铜子与钱票两样，还用报纸给包好，还说，“两搀儿，花着方便。”	Он достал деньги - целый юань - и боялся, что вызовет неудовольствие продавца.
老李的心比刚出屉的包子还热了。	Ничуть не бывало!
有家庭的快乐，还不限在家庭之内；家庭是快乐的无线广播电台，由此发送出一切快乐的音乐与消息，由北平一直传到南美洲！	Торговец вежливо дал ему сдачи медяками и бумажками, завернул пирожки в бумагу и сказал: «Я дал вам помельче деньги, чтобы удобнее было тратить».
怨不得张大哥快活！	Лао Ли стало жарче, чем пирожкам в печи.
菱在妈妈怀中已快睡着，闻见烧饼味，眼睛睁得滴溜圆，像两个白棋子上转着两个黑棋子。	Оказывается, радость, которую приносит семья, ощущаешь и вне дома.
	Семья - это широковещательная радиостанция, передающая веселую музыку и добрые вести.
英——那个男孩——好似烧饼味还没放出来，已经入肚了一个。	Из Пекина они способны долететь до Южной Америки!
