@!ERSTE LEKTION
ERSTE LEKTION	ПЕРВЫЙ УРОК
Im Café	В КАФЕ
Herr Ober!	Официант! (Господин официант)
Der Tee ist kalt!	Чай холодный!
Wie ist der Tee?	Какой чай?
Er ist kalt!	Он холодный! 
Oh, Verzeihung!	О, простите!
Herr Ober, der Tee ist jetzt gut; aber die Tasse...	Официант, чай сейчас хорош, но чашка ...
Ja, die Tasse?	Да, (а что) чашка?
Sie ist zu klein!	Она слишком маленькая!

@!ZWEITE LEKTION
ZWEITE LEKTION	ВТОРОЙ УРОК
Das Restaurant	PECTOPAH
Ich bin sehr müde und ich habe Hunger.	Я очень устал, и я голоден.
Dort ist ein Restaurant.	Там (есть) ресторан.
Es ist schön, nicht wahr?	Он красив, не правда ли?
Ja..., aber...	Да... но...
Haben Sie auch Hunger?	Вы (ведь) тоже голодны?
Ja, aber...	Да, но ...
Sind Sie nicht müde?	(Разве) вы не устали?
Doch, aber das Restaurant ist zu teuer.	Ну, конечно, да, но ресторан слишком дорог.
Dort ist eine Kneipe; sie ist auch schön, nicht wahr?	Там есть закусочная; она тоже прекрасна, не правда ли?

@!DRITTE LEKTION
DRITTE LEKTION	ТРЕТИЙ УРОК
Im Park	В ПАРКЕ
- Verzeihung! Ist dieser Platz noch frei?	Простите, это место еще свободно?
- Ich glaube, ja.	Я думаю, да.
- Danke! Wunderbar, diese Sonne, nicht wahr?	Спасибо! Это солнце чудесно, не правда ли?
Die Luft ist auch so gut!	Воздух тоже хорош.
Sind Sie oft hier?	Вы часто бываете здесь? 
Warum antworten Sie nicht?	Почему вы не отвечаете? 
Sprechen Sie Deutsch?	Вы говорите по-немецки ?
- Nein, ich bin Französin.	Нет, я француженка.
Ich spreche nur ein wenig Deutsch.	Я говорю по-немецки только (совсем) немного.
- Schade!	Жаль!
	
@!VIERTE LEKTION
VIERTE LEKTION	ЧЕТВЕРТЫЙ УРОК
Wie geht's?	КАК ДЕЛА?
Guten Tag, Wolfgang!	Добрый день, Вольфганг!
Hallo, Anne! Wie geht's?	Привет, Анне! Как дела?
Gut, danke.	Хорошо, спасибо.
Kommst du mit ins Café?	Пойдешь со мной в кафе?
Ja, gern. Ich habe Durst.	Да, с удовольствием. Я хочу пить.
Was trinkst du?	Что ты пьешь (будешь пить)?
Ich trinke eine Limonade. Und du?	Я пью лимонад. А ты?
Ich nehme ein Bier.	Я беру (возьму) одно пиво (одну кружку пива).
