search out	Ubik
utterly	100 %
preoccupied	человек почесывает подбородок
suave	кивает и вытягивает руку
ruddy	румяный
belligerent	танк
oppose	человек вытянул ладонь
pouch	мешки под глазами
subversive	оглядывается и режет провода
detest	гримаса ненависти
subdued	ладонь на человеке
despise	отвращение гримаса
swarthy	мулат
run-in, squable	люди ссорятся
ramifications	ветка
	
at-a-boy	большой палец
freckle	лицо с веснушками
cliquey	группа людей
shortcoming	машинка без колеса
conviction	библия
fed up with	человек проводит пальцем под подбородком
tousle	взъерошенный человек
rumble	молот громыхает
terse	в тисках
thrust	укалывать иглой
defiantly	стоит бочком
outfit	пиджак
convey 	поезд едет
remedy	лекарство
stubbornly	человек топнул ногой
sombre	пасмурное небо
disgrace	человек закрывает лицо руками
brooding	потирает подбородок и мрачное лицо
scuff	шаркать
moony	мечтательный
notorious, notoriously	мафиози
infuse with	человек касается друго
jubilant	человек торжествует
retort	
cleavage	
insolent	
ingenious	
well-grounded	
procrastinate	
soothe, soothing, soothingly	
inexplicable, inexplicably	
conflate	
beforehand	
mutilate 	
debunk	
muttonchops 	
smirk	
crinkle	
vow	
bedsheet	
corrugated	
entitle to	
derisive	
wink	
twitch	
fluster	
mumble	
deferentially, deferential	
dogged, doggedly	
run low	
imploring,imploringly	
gullible	
resort to	
consternation	
indiscretion	
scruple of conscience 	
intervene	
weariness	
exasperation	
make a point	
vile	
hinge upon	
gangling, gawky	
feverish	
intensely	
undergraduate	
predilection for	
in-depth	
intact	
stoned	
cater to/for	
make out	
affable	
sprightly	
surpass	
readily	
yammer	
prudence	
sigh	
musingly	
customary	
genuine	
conjecture	
impassive	
outward	
clumsily	
startle	
sagacity	
wary	
monstrosity	
later on	
flounder about	
hoarsely	
ponder on/over	
divert	
erratic	
gleaming	
propel	
clutter	
bewilder	
thus far	
brag	
aggrieve	
spurious	
impervious	
far-fetched	
hijack	
attain to	
savvy	
multifacetedness	
manifestation	
foremost	
hidebound	
unyielding	
mop	
dormitory	
sulky	
damp	
comprehend	
haggard	
tumbling	
resentful	
sprawling	
treachery	
freebie	
eligible	
crave for	
perpetually	
feral	
stupendous	
dissembling	
scarce	
confound	
uneasy	
pay heed	
deranged	
inasmuch as	
dazed	
exultant, exultantly	
shaggy	
scruffy	
badly off	
defile	
of similar scale to	
rank	
susceptible	
mould	
conjure up	
gruelling	
impeccable	
thought-provoking	
evocative	
depraved	
outset	
assortment	
beckon	
reckon	
derelict	
dilapidated	
ornate	
run-down	
bolt upright	как стрела, выпрямившись
authority	власть
beak	клюв
curb	сдерживать
sloppy	незастегнутый пиджак
fiddle	отверткой ковыряться в радио
disarrange	пермешивать колоду карт
smooth	гладить волосы
ruffle	взъерошить волосы
prop	человек оперся о стену
	
claim check	квитанция на ремонт часов
stub (ticket stub)	корешок билета
affable, amiable	человек улыбается
wizen, wither	увядший цветок
radiate	лампа и лучи во все стороны
scrutinize	человек разглядывает, рука на подбородке
lading	погрузчик с ящиками
rapt	
faithful	
